Year,Round,Team1,Team2,Winner
2016,1,Kansas,Austin Peay,Kansas
2016,2,Kansas,Connecticut,Kansas
2016,3,Kansas,Maryland,Kansas
2016,4,Kansas,Villanova,Villanova
2016,1,Colorado,Connecticut,Connecticut
2016,1,Maryland,S Dakota St,Maryland
2016,2,Maryland,Hawaii,Maryland
2016,1,California,Hawaii,Hawaii
2016,1,Arizona,Wichita St,Wichita St
2016,2,Wichita St,Miami FL,Miami FL
2016,1,Miami FL,Buffalo,Miami FL
2016,3,Miami FL,Villanova,Villanova
2016,1,Iowa,Temple,Iowa
2016,2,Iowa,Villanova,Villanova
2016,1,Villanova,UNC Asheville,Villanova
2016,5,Villanova,Oklahoma,Villanova
2016,6,Villanova,North Carolina,Villanova
2016,1,Oregon,Holy Cross,Oregon
2016,2,Oregon,St Joseph's PA,Oregon
2016,3,Oregon,Duke,Oregon
2016,4,Oregon,Oklahoma,Oklahoma
2016,1,St Joseph's PA,Cincinnati,St Joseph's PA
2016,1,Baylor,Yale,Yale
2016,2,Yale,Duke,Duke
2016,1,Duke,UNC Wilmington,Duke
2016,1,Texas,Northern Iowa,Northern Iowa
2016,2,Northern Iowa,Texas A&M,Texas A&M
2016,1,Texas A&M,WI Green Bay,Texas A&M
2016,3,Texas A&M,Oklahoma,Oklahoma
2016,1,Oregon St,VA Commonwealth,VA Commonwealth
2016,2,VA Commonwealth,Oklahoma,Oklahoma
2016,1,Oklahoma,CS Bakersfield,Oklahoma
2016,1,North Carolina,FL Gulf Coast,North Carolina
2016,2,North Carolina,Providence,North Carolina
2016,3,North Carolina,Indiana,North Carolina
2016,4,North Carolina,Notre Dame,North Carolina
2016,5,North Carolina,Syracuse,North Carolina
2016,1,USC,Providence,Providence
2016,1,Indiana,Chattanooga,Indiana
2016,2,Indiana,Kentucky,Indiana
2016,1,Kentucky,Stony Brook,Kentucky
2016,1,Notre Dame,Michigan,Notre Dame
2016,2,Notre Dame,SF Austin,Notre Dame
2016,3,Notre Dame,Wisconsin,Notre Dame
2016,1,West Virginia,SF Austin,SF Austin
2016,1,Wisconsin,Pittsburgh,Wisconsin
2016,2,Wisconsin,Xavier,Wisconsin
2016,1,Xavier,Weber St,Xavier
2016,1,Virginia,Hampton,Virginia
2016,2,Virginia,Butler,Virginia
2016,3,Virginia,Iowa St,Virginia
2016,4,Virginia,Syracuse,Syracuse
2016,1,Texas Tech,Butler,Butler
2016,1,Purdue,Ark Little Rock,Ark Little Rock
2016,2,Ark Little Rock,Iowa St,Iowa St
2016,1,Iowa St,Iona,Iowa St
2016,1,Seton Hall,Gonzaga,Gonzaga
2016,2,Gonzaga,Utah,Gonzaga
2016,3,Gonzaga,Syracuse,Syracuse
2016,1,Utah,Fresno St,Utah
2016,1,Dayton,Syracuse,Syracuse
2016,2,Syracuse,MTSU,Syracuse
2016,1,Michigan St,MTSU,MTSU
