Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Northwestern State,18,40.0,28.7,62.7,.458,6.5,18.8,.346,17.2,24.5,.701,13.7,19.8,13.8,24.8,38.6,16.2,10.2,4.7,81.1
Detroit,16,40.0,29.0,60.5,.479,6.2,18.4,.336,16.2,22.4,.726,10.1,17.6,10.4,22.6,33.0,14.9,8.0,3.1,80.4
Belmont,16,40.0,28.5,54.6,.522,8.9,21.2,.418,14.2,18.9,.755,13.4,18.2,8.1,20.9,29.0,17.1,10.8,2.2,80.1
Iona,18,41.4,28.0,61.3,.457,8.3,21.3,.391,15.7,21.2,.738,11.3,15.8,11.2,23.9,35.2,15.6,6.6,3.3,80.0
Bryant,18,40.3,27.6,53.8,.513,7.2,18.9,.381,16.6,22.4,.740,12.6,15.4,8.5,23.9,32.4,16.3,5.2,1.1,79.1
Long Island,18,40.3,27.1,55.5,.488,7.7,20.2,.383,17.1,25.1,.681,14.9,17.4,12.1,22.9,34.9,14.8,6.2,3.3,79.1
Iowa State,18,41.1,26.2,57.2,.457,10.6,27.2,.391,15.7,20.9,.751,12.1,17.4,9.5,25.2,34.7,15.6,5.3,2.3,78.7
Oakland,16,40.0,26.9,57.8,.466,8.4,23.1,.362,15.7,22.2,.705,11.2,16.9,10.4,21.4,31.8,15.2,8.7,1.0,77.9
VCU,16,40.6,28.0,61.4,.456,7.0,20.8,.337,14.6,20.1,.727,11.1,20.7,12.6,19.4,32.1,13.7,10.5,3.4,77.6
Houston,16,41.6,27.0,57.4,.471,5.8,16.4,.355,17.8,24.6,.725,13.7,19.6,10.6,24.6,35.2,15.6,7.1,3.3,77.6
Gonzaga,16,40.0,27.2,55.0,.495,6.9,18.4,.378,15.8,21.6,.733,10.1,15.2,11.1,24.9,36.1,15.1,7.6,3.4,77.2
Duke,18,40.0,27.3,57.4,.476,8.1,19.5,.416,14.4,20.1,.718,10.6,18.3,9.3,22.3,31.7,14.1,6.1,3.0,77.2
South Dakota State,16,40.0,26.9,56.3,.477,8.4,20.1,.421,14.3,18.5,.774,9.4,14.3,9.4,25.2,34.7,14.5,5.2,1.7,76.5
Ole Miss,18,40.5,26.0,60.4,.431,6.8,19.4,.352,17.5,24.7,.708,11.1,16.7,12.0,24.3,36.3,12.1,7.5,4.8,76.3
Missouri,18,40.3,26.7,56.6,.472,6.3,18.6,.340,16.6,21.8,.760,13.0,17.6,11.3,25.4,36.7,13.4,7.6,3.5,76.2
Southeast Missouri State,16,40.3,26.9,56.4,.476,8.8,20.7,.423,13.6,19.9,.683,13.1,19.8,9.8,25.4,35.2,16.4,4.9,4.6,76.1
Memphis,17,40.0,27.1,56.6,.479,6.6,16.9,.390,15.0,22.7,.661,14.9,17.6,12.0,26.2,38.2,18.2,8.2,6.8,75.8
Brigham Young,16,40.0,27.4,58.8,.465,5.5,15.6,.352,15.6,22.0,.707,10.7,18.7,10.6,24.8,35.4,14.9,9.0,1.8,75.8
NC State,17,40.3,27.3,58.6,.465,5.2,13.2,.393,15.8,22.4,.705,12.1,15.0,11.9,25.2,37.2,14.2,6.2,4.2,75.5
East Carolina,16,40.6,25.6,57.9,.442,8.5,22.7,.375,15.8,21.0,.750,12.7,18.2,9.8,23.1,32.8,16.7,7.8,4.1,75.5
Creighton,18,40.0,26.9,51.9,.518,9.0,20.9,.431,12.4,16.6,.748,12.9,16.4,8.3,25.9,34.3,17.6,4.2,2.1,75.2
Tennessee State,16,40.6,24.5,51.9,.472,6.4,16.9,.378,19.8,25.9,.763,14.7,19.2,11.0,24.4,35.4,12.7,6.6,4.4,75.1
Mount St. Mary's,18,40.3,25.9,57.7,.450,8.6,25.3,.340,14.6,20.9,.695,12.1,19.4,10.0,21.4,31.4,13.6,8.2,2.5,75.1
Weber State,20,40.5,25.9,50.8,.511,7.4,16.8,.440,15.8,21.1,.748,13.0,17.5,8.1,27.2,35.2,13.2,5.2,5.0,75.0
Quinnipiac,18,40.3,26.8,60.1,.446,4.6,13.0,.355,16.7,24.9,.670,12.7,18.0,16.6,25.9,42.5,13.4,4.0,3.9,74.9
Central Arkansas,18,41.7,27.6,65.4,.422,6.7,19.4,.343,13.0,20.3,.641,15.4,21.5,14.1,25.2,39.3,13.6,7.1,4.7,74.9
Charleston Southern,16,40.6,26.8,61.2,.438,9.7,26.1,.371,11.5,16.4,.700,12.5,15.1,12.0,25.4,37.4,12.9,7.7,2.6,74.8
Texas Southern,18,40.0,26.6,55.1,.482,8.7,22.7,.385,12.9,19.6,.662,11.2,14.9,10.9,25.9,36.9,15.1,4.8,4.9,74.8
Virginia Military,16,40.0,26.9,61.6,.437,9.2,27.2,.340,11.6,18.1,.638,12.2,16.5,12.7,23.0,35.7,13.9,7.2,4.1,74.7
Davidson,18,40.0,25.1,53.5,.468,7.8,21.3,.366,16.7,20.8,.805,10.3,16.9,8.9,26.3,35.2,13.9,5.9,3.2,74.6
Eastern Kentucky,16,40.3,25.4,53.3,.477,8.6,24.4,.351,15.1,18.4,.823,11.2,19.2,8.0,18.4,26.4,15.1,8.4,2.6,74.6
Indiana,18,40.0,24.7,53.4,.463,7.2,17.2,.416,17.9,24.6,.731,12.7,17.2,12.0,23.7,35.7,12.5,6.6,3.6,74.6
Wagner,18,40.6,26.7,56.4,.473,4.7,13.4,.353,16.3,22.9,.711,13.8,20.0,11.6,23.5,35.1,13.7,8.2,4.9,74.4
Valparaiso,16,40.0,25.6,51.8,.493,8.2,21.1,.389,15.1,20.5,.735,12.8,17.8,8.9,22.4,31.4,14.9,6.2,3.9,74.4
Southern Mississippi,16,40.3,26.9,55.4,.485,7.4,18.4,.405,13.2,19.8,.666,13.8,19.7,12.2,23.0,35.2,15.6,8.6,3.4,74.4
Omaha,16,40.0,28.6,60.1,.476,6.0,16.8,.358,10.9,15.8,.694,13.8,16.9,8.0,20.8,28.8,13.4,7.1,3.2,74.2
Central Connecticut State,18,40.6,26.4,60.0,.440,7.2,19.4,.370,14.2,20.2,.703,12.4,15.8,9.8,24.9,34.7,13.5,7.1,4.2,74.2
Robert Morris,18,40.3,25.3,55.4,.457,9.1,22.4,.407,14.4,19.6,.736,11.8,20.1,9.7,20.3,29.9,15.2,9.2,2.8,74.2
Massachusetts,16,40.0,26.2,57.2,.459,7.0,18.9,.370,14.6,20.4,.713,13.2,19.2,10.7,24.1,34.8,15.7,6.3,5.6,74.1
Cal State Fullerton,18,40.0,25.4,56.6,.449,8.4,23.1,.365,14.5,18.8,.772,11.8,17.6,8.0,19.2,27.2,13.6,7.3,1.8,73.8
Sacred Heart,18,40.3,26.0,57.0,.456,7.1,19.4,.363,14.8,19.9,.743,14.7,19.0,10.4,22.9,33.3,14.4,6.7,3.7,73.8
Ohio,16,40.6,26.5,57.1,.464,7.6,22.1,.342,13.3,19.9,.670,11.2,19.4,8.7,22.8,31.5,17.3,8.6,3.7,73.8
Florida Gulf Coast,18,40.8,26.6,58.1,.458,7.4,21.7,.340,13.2,19.7,.669,13.4,18.0,11.4,24.2,35.6,13.9,8.4,4.3,73.8
Saint Mary's,16,40.0,25.8,55.1,.468,7.7,21.2,.363,14.5,20.9,.695,11.6,17.3,11.6,24.1,35.7,13.9,6.7,2.7,73.7
Oklahoma State,18,41.1,25.1,56.6,.444,5.1,16.2,.312,18.3,24.7,.741,12.4,18.7,10.1,25.2,35.2,12.2,7.6,4.2,73.6
Oklahoma,18,40.6,25.8,57.2,.451,5.0,14.4,.347,16.9,21.8,.774,11.5,17.9,10.4,25.4,35.8,12.9,5.8,2.3,73.6
Temple,16,40.0,25.8,58.1,.445,7.5,21.0,.357,14.2,20.2,.704,11.0,17.1,10.4,22.8,33.1,14.7,7.3,3.8,73.4
Hawaii,18,40.0,25.9,56.4,.459,5.9,16.4,.363,15.6,22.3,.698,14.1,17.1,11.4,23.8,35.2,13.7,5.7,3.4,73.3
Long Beach State,18,40.3,25.8,54.4,.473,7.1,19.8,.356,14.4,21.6,.668,14.0,17.4,10.9,23.3,34.2,13.5,7.2,3.6,73.1
Towson,18,41.1,25.6,56.4,.454,5.9,17.6,.339,15.9,23.6,.675,14.7,18.8,13.5,25.4,38.9,11.3,4.9,5.8,73.1
Morehead State,16,40.9,24.9,54.8,.455,6.4,18.2,.351,16.7,23.5,.710,18.4,23.8,13.6,21.9,35.4,14.9,7.8,2.4,72.9
Oral Roberts,18,40.6,26.1,54.6,.477,5.1,13.9,.368,15.7,21.6,.725,13.8,15.6,11.3,24.6,35.9,13.5,5.9,3.8,72.9
Niagara,18,40.8,25.3,59.6,.425,6.6,20.9,.316,15.6,22.7,.686,10.8,20.0,12.6,21.9,34.5,12.3,8.3,3.2,72.8
South Dakota,16,40.0,25.6,53.4,.479,7.4,17.9,.413,14.2,18.2,.781,11.1,13.6,7.2,22.8,29.9,12.6,4.9,2.5,72.8
Liberty,16,40.6,24.4,56.2,.434,6.4,18.1,.355,17.2,23.0,.750,11.8,19.2,10.2,25.2,35.4,11.8,5.4,2.9,72.6
Middle Tennessee State,20,40.2,25.6,53.4,.480,5.8,14.7,.399,15.4,22.1,.697,13.9,20.0,10.8,25.2,36.0,14.4,6.8,4.2,72.5
Kansas,18,41.1,24.8,54.8,.453,5.6,15.8,.352,17.2,24.3,.709,13.8,18.0,11.6,27.2,38.8,13.8,7.3,5.6,72.4
Colorado State,16,40.3,24.8,56.0,.442,5.1,15.8,.324,17.7,25.4,.697,10.7,17.1,13.3,25.0,38.3,12.5,4.8,1.4,72.3
High Point,16,40.6,27.1,57.0,.475,4.8,13.0,.370,13.3,19.3,.689,11.6,17.1,11.2,24.0,35.2,15.6,6.6,4.2,72.2
Northeastern,17,41.8,24.2,52.3,.462,7.9,19.3,.412,15.9,19.8,.804,11.9,14.6,8.2,19.9,28.1,15.2,7.5,2.5,72.2
Kent State,16,40.6,23.4,53.9,.435,7.8,20.1,.388,17.4,24.6,.710,13.2,19.6,11.6,23.5,35.1,12.5,6.8,2.9,72.1
St. Bonaventure,16,40.6,23.9,52.1,.458,7.4,19.2,.386,16.9,20.8,.814,14.1,19.6,8.6,21.1,29.7,14.2,5.8,2.6,72.1
North Carolina,18,40.3,26.6,61.8,.430,7.0,19.0,.368,11.9,17.6,.675,11.3,13.8,12.0,22.9,34.9,15.9,7.4,3.2,72.1
Michigan,18,40.6,26.8,57.1,.469,7.0,18.8,.372,11.5,16.7,.690,9.1,13.9,9.7,22.7,32.4,13.1,6.6,2.6,72.1
Austin Peay,16,41.2,25.2,54.5,.462,6.6,18.2,.363,14.9,21.9,.680,15.4,17.2,9.3,22.8,32.1,14.3,6.4,5.1,71.9
Illinois State,18,40.0,24.5,56.7,.432,7.1,20.6,.342,15.8,20.8,.757,12.1,17.7,9.9,24.3,34.2,13.3,6.3,3.9,71.8
La Salle,16,40.3,25.8,57.2,.450,7.2,19.8,.364,13.1,17.3,.758,12.0,15.9,10.2,20.1,30.2,15.1,8.3,3.2,71.8
Dayton,16,40.3,25.4,52.0,.489,6.0,14.7,.409,14.8,20.1,.735,15.1,20.1,10.4,22.2,32.7,14.2,5.4,2.5,71.6
UNC Asheville,16,40.0,25.3,54.8,.462,5.3,14.4,.368,15.6,21.9,.711,13.8,14.9,10.8,23.5,34.2,14.8,7.8,5.6,71.5
Saint Louis,16,40.6,24.6,55.3,.444,6.0,18.1,.332,16.3,23.6,.690,10.9,19.4,10.3,23.9,34.2,12.4,8.2,3.1,71.4
