Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Virginia Military,18,40.3,29.9,60.4,.494,5.6,16.2,.346,15.6,22.1,.705,15.5,19.6,10.8,25.5,36.3,15.1,7.6,2.9,80.9
DePaul,18,40.3,29.3,58.8,.498,5.5,14.5,.379,16.7,23.9,.696,14.6,15.9,11.8,26.2,38.0,14.6,8.2,4.8,80.7
Stetson,18,40.6,29.6,61.5,.481,6.7,19.2,.347,14.2,21.2,.672,13.5,17.3,11.4,22.5,33.9,16.0,7.8,2.3,80.0
Santa Clara,16,40.0,26.7,52.9,.504,5.1,13.5,.375,21.2,29.6,.717,11.9,17.8,10.0,26.4,36.4,14.7,5.1,3.5,79.6
South Carolina State,16,40.0,28.7,59.8,.480,6.4,16.4,.392,15.1,23.9,.629,12.6,18.9,12.2,24.1,36.3,14.9,8.1,5.0,78.9
Oakland,18,40.8,28.7,58.7,.489,8.1,20.2,.398,12.7,17.3,.736,12.3,20.1,8.5,21.6,30.2,15.0,5.8,3.1,78.2
Oregon State,18,41.4,27.7,57.4,.482,6.8,17.2,.398,15.9,23.2,.684,15.2,19.8,10.6,23.0,33.6,14.8,6.5,4.0,78.2
Long Island,18,40.3,31.0,69.7,.445,6.1,18.3,.330,10.1,14.5,.693,13.6,23.9,12.8,22.1,34.9,15.1,8.5,3.6,78.1
Hawaii,14,40.7,27.4,61.9,.442,6.6,17.9,.371,16.6,23.9,.695,11.4,20.2,12.3,22.0,34.3,15.1,6.8,3.1,77.9
Central Arkansas,16,40.3,27.6,57.3,.482,4.8,14.8,.325,17.8,27.8,.638,16.2,16.4,12.3,27.8,40.2,15.9,8.5,4.3,77.8
UMBC,16,40.3,26.7,55.6,.480,6.7,18.2,.366,17.6,24.1,.731,13.7,16.4,10.6,25.7,36.3,14.7,5.8,3.6,77.7
South Dakota,18,40.3,28.9,59.6,.485,7.1,17.9,.396,12.8,16.8,.759,11.4,16.3,8.5,24.6,33.1,18.6,6.3,2.6,77.7
Tennessee-Martin,16,40.6,27.5,52.9,.519,5.3,14.0,.379,17.2,23.6,.728,12.7,18.0,10.2,22.6,32.8,15.2,7.0,4.7,77.5
San Jose State,14,41.0,27.6,56.0,.492,7.9,20.3,.387,13.9,20.2,.686,11.6,16.9,10.1,24.9,35.0,18.0,4.4,4.3,76.9
Cal State Northridge,16,40.3,25.7,53.6,.479,8.5,22.1,.385,16.9,24.3,.694,13.8,17.5,10.5,23.4,33.9,16.2,5.9,4.1,76.8
Florida Gulf Coast,18,40.6,26.4,57.9,.457,8.7,22.0,.394,14.6,22.6,.646,14.6,17.6,12.6,20.7,33.3,17.4,7.8,2.9,76.2
