Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Northwestern State,18,40,28.7,62.7,0.458,6.5,18.8,0.346,17.2,24.5,0.701,13.7,19.8,13.8,24.8,38.6,16.2,10.2,4.7,81.1,2013
Detroit,16,40,29,60.5,0.479,6.2,18.4,0.336,16.2,22.4,0.726,10.1,17.6,10.4,22.6,33,14.9,8,3.1,80.4,2013
Belmont,16,40,28.5,54.6,0.522,8.9,21.2,0.418,14.2,18.9,0.755,13.4,18.2,8.1,20.9,29,17.1,10.8,2.2,80.1,2013
Iona,18,41.4,28,61.3,0.457,8.3,21.3,0.391,15.7,21.2,0.738,11.3,15.8,11.2,23.9,35.2,15.6,6.6,3.3,80,2013
Bryant,18,40.3,27.6,53.8,0.513,7.2,18.9,0.381,16.6,22.4,0.74,12.6,15.4,8.5,23.9,32.4,16.3,5.2,1.1,79.1,2013
Long Island,18,40.3,27.1,55.5,0.488,7.7,20.2,0.383,17.1,25.1,0.681,14.9,17.4,12.1,22.9,34.9,14.8,6.2,3.3,79.1,2013
Iowa State,18,41.1,26.2,57.2,0.457,10.6,27.2,0.391,15.7,20.9,0.751,12.1,17.4,9.5,25.2,34.7,15.6,5.3,2.3,78.7,2013
Oakland,16,40,26.9,57.8,0.466,8.4,23.1,0.362,15.7,22.2,0.705,11.2,16.9,10.4,21.4,31.8,15.2,8.7,1,77.9,2013
VCU,16,40.6,28,61.4,0.456,7,20.8,0.337,14.6,20.1,0.727,11.1,20.7,12.6,19.4,32.1,13.7,10.5,3.4,77.6,2013
Houston,16,41.6,27,57.4,0.471,5.8,16.4,0.355,17.8,24.6,0.725,13.7,19.6,10.6,24.6,35.2,15.6,7.1,3.3,77.6,2013
Gonzaga,16,40,27.2,55,0.495,6.9,18.4,0.378,15.8,21.6,0.733,10.1,15.2,11.1,24.9,36.1,15.1,7.6,3.4,77.2,2013
Duke,18,40,27.3,57.4,0.476,8.1,19.5,0.416,14.4,20.1,0.718,10.6,18.3,9.3,22.3,31.7,14.1,6.1,3,77.2,2013
South Dakota State,16,40,26.9,56.3,0.477,8.4,20.1,0.421,14.3,18.5,0.774,9.4,14.3,9.4,25.2,34.7,14.5,5.2,1.7,76.5,2013
Ole Miss,18,40.5,26,60.4,0.431,6.8,19.4,0.352,17.5,24.7,0.708,11.1,16.7,12,24.3,36.3,12.1,7.5,4.8,76.3,2013
Missouri,18,40.3,26.7,56.6,0.472,6.3,18.6,0.34,16.6,21.8,0.76,13,17.6,11.3,25.4,36.7,13.4,7.6,3.5,76.2,2013
Southeast Missouri State,16,40.3,26.9,56.4,0.476,8.8,20.7,0.423,13.6,19.9,0.683,13.1,19.8,9.8,25.4,35.2,16.4,4.9,4.6,76.1,2013
Memphis,17,40,27.1,56.6,0.479,6.6,16.9,0.39,15,22.7,0.661,14.9,17.6,12,26.2,38.2,18.2,8.2,6.8,75.8,2013
Brigham Young,16,40,27.4,58.8,0.465,5.5,15.6,0.352,15.6,22,0.707,10.7,18.7,10.6,24.8,35.4,14.9,9,1.8,75.8,2013
NC State,17,40.3,27.3,58.6,0.465,5.2,13.2,0.393,15.8,22.4,0.705,12.1,15,11.9,25.2,37.2,14.2,6.2,4.2,75.5,2013
East Carolina,16,40.6,25.6,57.9,0.442,8.5,22.7,0.375,15.8,21,0.75,12.7,18.2,9.8,23.1,32.8,16.7,7.8,4.1,75.5,2013
Creighton,18,40,26.9,51.9,0.518,9,20.9,0.431,12.4,16.6,0.748,12.9,16.4,8.3,25.9,34.3,17.6,4.2,2.1,75.2,2013
Tennessee State,16,40.6,24.5,51.9,0.472,6.4,16.9,0.378,19.8,25.9,0.763,14.7,19.2,11,24.4,35.4,12.7,6.6,4.4,75.1,2013
Mount St. Mary's,18,40.3,25.9,57.7,0.45,8.6,25.3,0.34,14.6,20.9,0.695,12.1,19.4,10,21.4,31.4,13.6,8.2,2.5,75.1,2013
Weber State,20,40.5,25.9,50.8,0.511,7.4,16.8,0.44,15.8,21.1,0.748,13,17.5,8.1,27.2,35.2,13.2,5.2,5,75,2013
Quinnipiac,18,40.3,26.8,60.1,0.446,4.6,13,0.355,16.7,24.9,0.67,12.7,18,16.6,25.9,42.5,13.4,4,3.9,74.9,2013
Central Arkansas,18,41.7,27.6,65.4,0.422,6.7,19.4,0.343,13,20.3,0.641,15.4,21.5,14.1,25.2,39.3,13.6,7.1,4.7,74.9,2013
Charleston Southern,16,40.6,26.8,61.2,0.438,9.7,26.1,0.371,11.5,16.4,0.7,12.5,15.1,12,25.4,37.4,12.9,7.7,2.6,74.8,2013
Texas Southern,18,40,26.6,55.1,0.482,8.7,22.7,0.385,12.9,19.6,0.662,11.2,14.9,10.9,25.9,36.9,15.1,4.8,4.9,74.8,2013
Virginia Military,16,40,26.9,61.6,0.437,9.2,27.2,0.34,11.6,18.1,0.638,12.2,16.5,12.7,23,35.7,13.9,7.2,4.1,74.7,2013
Davidson,18,40,25.1,53.5,0.468,7.8,21.3,0.366,16.7,20.8,0.805,10.3,16.9,8.9,26.3,35.2,13.9,5.9,3.2,74.6,2013
Eastern Kentucky,16,40.3,25.4,53.3,0.477,8.6,24.4,0.351,15.1,18.4,0.823,11.2,19.2,8,18.4,26.4,15.1,8.4,2.6,74.6,2013
