Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Marshall,18,40.6,32.8,66.1,.497,11.1,29.4,.376,15.3,21.2,.722,11.8,18.2,8.4,28.2,36.7,17.9,6.1,3.3,92.0
Oakland,18,40.0,29.3,62.7,.468,8.9,22.1,.402,20.7,26.8,.772,10.8,19.0,10.9,26.9,37.9,16.2,6.3,3.7,88.2
North Florida,14,40.0,30.4,61.7,.492,12.6,31.9,.395,13.6,19.3,.704,10.1,16.6,9.1,25.4,34.4,16.8,5.1,5.3,86.9
Green Bay,18,40.3,30.3,67.2,.451,7.5,22.2,.338,16.6,24.5,.678,12.1,19.2,12.9,24.7,37.6,15.2,8.6,4.8,84.8
Eastern Washington,18,40.0,28.8,57.7,.500,10.1,25.6,.393,16.4,24.0,.683,11.8,19.6,8.6,24.7,33.3,13.1,5.3,4.3,84.1
Brigham Young,18,40.0,29.3,64.6,.454,9.1,23.9,.381,16.3,23.3,.700,10.4,18.6,11.9,28.2,40.1,16.9,6.6,4.7,84.1
Omaha,16,40.3,29.9,61.6,.485,6.1,16.6,.370,18.1,23.9,.757,12.2,18.0,8.4,22.4,30.8,13.7,8.8,3.2,83.9
Detroit,18,40.3,28.7,60.8,.471,6.8,19.2,.354,19.6,28.4,.689,13.2,22.7,11.8,24.4,36.2,13.2,6.8,4.0,83.7
Washington,18,41.4,28.2,66.6,.424,7.5,22.0,.341,19.6,26.2,.746,12.9,24.2,11.8,24.1,35.9,13.9,7.7,6.3,83.5
Stephen F. Austin,18,40.0,30.0,57.4,.522,8.4,20.2,.419,14.3,19.7,.726,13.4,19.8,10.8,23.9,34.7,19.8,8.4,3.6,82.7
Charlotte,18,41.1,29.4,62.3,.473,9.2,22.4,.408,14.6,20.3,.721,11.6,16.9,10.1,24.6,34.7,15.4,5.8,1.7,82.7
Arizona,18,41.1,28.8,58.8,.491,7.1,17.1,.412,17.7,24.0,.736,12.1,17.6,10.4,28.0,38.4,14.7,4.1,5.1,82.4
Fort Wayne,16,40.3,27.9,59.6,.469,10.7,24.9,.430,15.8,20.9,.754,11.4,15.3,9.7,26.9,36.6,14.9,4.5,3.7,82.3
Belmont,16,40.0,28.1,56.8,.494,11.3,29.7,.381,14.9,20.6,.723,14.0,20.8,8.7,25.3,34.0,17.2,4.5,2.6,82.3
Citadel,18,40.3,27.1,69.6,.389,11.2,35.6,.314,16.6,23.2,.715,12.9,24.2,11.9,22.4,34.3,13.5,8.4,3.1,81.9
Iona,20,40.0,28.9,62.3,.464,10.2,27.7,.366,13.8,19.4,.716,12.8,19.0,11.3,25.9,37.2,17.4,7.7,4.5,81.8
Gonzaga,18,40.3,28.0,56.7,.494,8.3,20.7,.399,17.3,22.2,.779,10.4,17.7,9.3,29.0,38.3,14.4,4.7,3.2,81.6
Winthrop,18,40.0,27.6,55.8,.494,9.0,22.8,.395,17.4,23.9,.726,13.7,18.9,8.0,26.1,34.1,11.7,5.2,5.4,81.5
Lipscomb,14,40.4,28.1,61.9,.455,9.5,27.6,.344,15.7,21.7,.724,14.7,19.3,11.3,26.1,37.4,17.3,7.0,2.9,81.5
Monmouth,20,40.3,27.2,61.5,.443,8.3,22.4,.371,18.1,23.2,.782,12.7,20.4,10.1,26.7,36.8,12.7,8.8,3.6,81.0
Norfolk State,16,40.6,26.1,57.2,.455,7.6,22.2,.344,21.2,27.3,.776,12.6,20.9,10.3,24.2,34.5,13.8,6.5,5.9,80.9
Xavier,18,40.0,27.3,59.8,.456,7.6,20.8,.363,18.6,25.2,.740,12.9,20.2,11.4,27.4,38.9,16.7,7.1,2.9,80.7
Iowa State,18,40.8,30.1,60.0,.502,8.2,20.2,.407,12.0,16.2,.742,11.3,15.8,8.3,25.2,33.5,15.8,5.1,4.2,80.4
Michigan State,18,40.3,29.3,60.6,.484,9.8,21.1,.466,11.8,16.3,.727,11.7,19.9,11.9,28.2,40.1,20.2,4.4,4.8,80.3
UAB,18,40.8,29.1,60.3,.482,7.9,20.2,.394,14.2,19.6,.727,12.7,18.3,10.7,27.6,38.3,18.3,6.3,5.9,80.3
Northwestern State,18,40.0,27.5,61.2,.450,7.6,21.2,.357,17.5,23.1,.757,14.2,20.4,10.4,22.3,32.7,15.3,7.0,2.8,80.1
San Francisco,18,40.8,27.7,63.9,.433,8.1,22.3,.363,16.6,24.7,.670,11.7,21.7,13.3,25.8,39.1,12.5,5.7,2.8,80.0
Texas-Arlington,20,40.5,27.1,63.0,.431,9.3,26.9,.346,16.4,23.6,.699,13.1,20.6,12.8,29.1,42.0,17.4,6.3,2.9,80.0
North Carolina,18,40.0,29.9,65.2,.460,4.9,17.3,.283,15.1,20.6,.735,11.4,18.9,14.8,25.9,40.7,17.2,6.8,4.4,79.9
Fairleigh Dickinson,18,40.6,28.6,59.3,.481,7.9,20.4,.389,14.7,19.4,.757,13.9,20.7,10.1,22.9,33.1,14.4,6.9,3.1,79.8
Milwaukee,18,40.6,26.4,57.8,.458,9.5,25.6,.372,17.3,22.5,.768,10.0,17.0,9.6,24.9,34.4,16.4,4.1,2.7,79.7
Louisiana Tech,18,40.8,27.6,58.5,.472,7.3,20.6,.357,17.1,25.5,.669,12.0,18.1,9.2,26.9,36.1,14.0,6.5,3.8,79.6
UMass Lowell,16,40.6,28.4,57.9,.491,7.8,21.6,.362,14.9,21.6,.690,16.5,20.7,8.5,23.4,31.9,14.9,7.4,2.6,79.6
Princeton,14,40.7,27.1,56.9,.476,9.5,22.8,.417,15.7,20.9,.751,11.9,17.4,9.1,25.1,34.3,14.5,7.6,3.7,79.4
St. Bonaventure,18,40.3,25.7,57.1,.451,8.8,21.7,.404,19.1,24.5,.780,11.1,19.3,9.8,24.0,33.8,12.6,5.6,4.6,79.3
Kentucky,18,40.3,28.7,60.3,.476,7.4,19.0,.392,14.4,21.2,.682,9.9,21.0,12.5,26.3,38.8,15.0,4.8,5.4,79.3
Tennessee Tech ,16,40.0,25.7,53.2,.483,9.3,23.4,.397,18.6,25.2,.738,12.3,19.8,8.0,26.1,34.1,14.2,4.8,3.2,79.3
Central Arkansas,18,40.0,26.9,58.3,.461,6.9,17.6,.394,18.3,27.2,.671,15.4,20.9,12.4,26.4,38.8,14.0,5.2,4.0,79.0
USC,18,41.1,28.1,62.0,.453,7.1,19.4,.367,15.6,23.0,.679,12.1,18.4,10.4,26.2,36.6,14.2,5.6,4.8,78.9
Siena,20,40.8,27.1,58.6,.463,6.5,17.5,.369,18.1,24.6,.739,16.1,20.2,13.1,27.5,40.6,14.9,6.3,4.3,78.9
Bucknell,18,40.6,26.6,56.4,.470,7.4,19.7,.379,18.3,25.5,.717,12.9,21.6,9.5,25.9,35.4,15.3,6.6,3.5,78.8
Saint Joseph's,18,40.0,27.7,60.2,.460,7.5,22.2,.338,15.9,22.4,.710,9.5,15.5,9.7,27.9,37.6,15.5,5.1,2.4,78.8
VCU,18,40.6,28.9,61.3,.472,7.1,19.8,.360,13.7,20.2,.678,11.5,19.0,11.1,25.2,36.3,14.6,8.2,4.0,78.7
Kennesaw State,14,40.0,28.5,60.9,.468,6.9,17.9,.386,14.7,21.0,.701,11.6,20.0,10.9,23.6,34.6,13.3,6.4,3.4,78.6
Davidson,18,40.0,27.2,60.5,.449,9.6,25.9,.370,14.6,18.2,.799,10.5,17.6,9.4,24.4,33.8,15.4,4.6,2.9,78.5
Eastern Michigan,18,40.5,25.8,56.7,.455,6.2,17.9,.344,20.6,27.4,.751,13.0,22.1,10.4,22.2,32.6,10.8,8.6,3.6,78.4
Hofstra,18,41.4,27.0,61.0,.443,8.1,23.8,.339,16.3,24.1,.677,11.3,15.1,12.1,28.3,40.4,15.4,6.4,3.6,78.4
Portland,18,40.0,26.7,61.3,.436,8.7,24.0,.361,16.2,20.6,.787,11.2,22.1,9.9,22.8,32.8,12.7,5.6,3.7,78.3
East Tennessee State,18,40.8,27.6,58.4,.472,8.6,21.5,.401,14.4,21.0,.688,12.8,19.7,10.1,24.9,35.0,12.3,6.4,3.9,78.3
Indiana,18,40.3,27.7,58.0,.477,9.9,24.9,.397,12.9,17.4,.741,13.0,18.3,11.0,25.1,36.1,15.2,6.4,3.2,78.1
Akron,18,40.0,26.5,59.7,.444,12.4,31.2,.398,12.7,18.2,.700,10.3,18.1,9.6,24.7,34.3,14.7,5.6,3.8,78.1
